from_currency,to_currency,rate,effective_date
USD,USD,1.0,2024-01-01
EUR,USD,1.09,2024-01-01
GBP,USD,1.27,2024-01-01
AUD,USD,0.66,2024-01-01
CAD,USD,0.74,2024-01-01
JPY,USD,0.0067,2024-01-01
BRL,USD,0.20,2024-01-01
MXN,USD,0.059,2024-01-01
SGD,USD,0.74,2024-01-01
HKD,USD,0.128,2024-01-01
NZD,USD,0.61,2024-01-01
ZAR,USD,0.054,2024-01-01
INR,USD,0.012,2024-01-01
CNY,USD,0.14,2024-01-01
KRW,USD,0.00075,2024-01-01
CHF,USD,1.13,2024-01-01
SEK,USD,0.096,2024-01-01
NOK,USD,0.095,2024-01-01
DKK,USD,0.146,2024-01-01
PLN,USD,0.249,2024-01-01
